GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
policy-service,com.smartcourier.policy.controller,PolicyController,43,36,0,0,9,7,4,4,4,4
policy-service,com.smartcourier.policy,PolicyServiceApplication,5,3,0,0,2,1,1,1,1,1
policy-service,com.smartcourier.policy.service,PolicyService,23,229,10,6,2,51,9,13,1,13
policy-service,com.smartcourier.policy.config,SecurityConfig,0,171,0,0,0,25,0,5,0,5
policy-service,com.smartcourier.policy.config,OpenApiConfig,0,42,0,0,0,11,0,3,0,3
policy-service,com.smartcourier.policy.config,RoleHeaderFilter,40,3,6,0,9,1,4,1,1,1
policy-service,com.smartcourier.policy.exception,GlobalExceptionHandler,0,54,0,0,0,12,0,5,0,5
